Kantons-Nummer;Kanton;Gemeinde-Nummer;Gemeinde;Stimmberechtigte;eingelegte Stimmzettel;Stimmbeteiligung;leere Stimmzettel;ungültige Stimmzettel;gültige Stimmen;Ja-Stimmen;Nein-Stimmen;Ja in Prozent
26;Jura;6792;Grandfontaine;326;130;39.9;5;0;125;46;79;36.8
26;Jura;6793;Lugnez;144;85;59.0;7;0;78;30;48;38.5
26;Jura;6800;Porrentruy;4'606;1'637;35.5;56;4;1'577;550;1'027;34.9
26;Jura;6806;Vendlincourt;490;178;36.3;1;3;174;58;116;33.3
26;Jura;6807;Basse-Allaine;956;313;32.7;13;2;298;111;187;37.2
26;Jura;6808;Clos du Doubs;1'138;390;34.3;10;1;379;119;260;31.4
26;Jura;6809;Haute-Ajoie;1'001;372;37.2;5;2;365;109;256;29.9
26;Jura;6810;La Baroche;951;334;35.1;6;0;328;93;235;28.4
1;Zürich;9010;ZH-Ausland-CH;32'816;7'005;21.3;126;7;6'872;2'938;3'934;42.8
3;Luzern;9030;LU-Ausland-CH;6'022;1'523;25.3;40;45;1'438;628;810;43.7
4;Uri;9040;UR-Ausland-CH;484;133;27.5;5;1;127;51;76;40.2
10;Fribourg / Freiburg;9100;FR-CH de l'étranger;7'406;2'067;27.9;63;0;2'004;876;1'128;43.7
12;Basel-Stadt;9120;BS-Ausland-CH;9'480;2'138;22.6;69;17;2'052;815;1'237;39.7
16;Appenzell Innerrhoden;9160;AI-Ausland-CH;523;117;22.4;0;2;115;50;65;43.5
17;St. Gallen;9170;SG-Ausland-CH;10'105;2'398;23.7;45;4;2'349;1'050;1'299;44.7
19;Aargau;9190;AG-Ausland-CH;11'559;2'442;21.1;46;0;2'396;1'055;1'341;44.0
20;Thurgau;9200;TG-Ausland-CH;4'527;1'055;23.3;27;7;1'021;444;577;43.5
22;Vaud;9220;VD-CH de l'étranger;22'170;5'252;23.7;162;11;5'079;2'264;2'815;44.6
23;Valais / Wallis;9230;VS-CH de l'étranger;6'922;1'446;20.9;33;82;1'331;639;692;48.0
25;Genève;9250;GE-CH de l'étranger;30'980;7'544;24.4;299;1;7'244;2'661;4'583;36.7
