Kantons-Nummer;Kanton;Gemeinde-Nummer;Gemeinde;Stimmberechtigte;eingelegte Stimmzettel;Stimmbeteiligung;leere Stimmzettel;ungültige Stimmzettel;gültige Stimmen;Ja-Stimmen;Nein-Stimmen;Ja in Prozent
2;Bern / Berne;622;Oppligen;511;230;45.0;2;0;228;69;159;30.3
2;Bern / Berne;623;Rubigen;2'287;1'156;50.5;30;0;1'126;321;805;28.5
2;Bern / Berne;626;Walkringen;1'450;598;41.2;14;1;583;169;414;29.0
2;Bern / Berne;627;Worb;8'269;3'983;48.2;101;2;3'880;1'238;2'642;31.9
2;Bern / Berne;628;Zäziwil;1'289;543;42.1;17;0;526;140;386;26.6
2;Bern / Berne;629;Oberhünigen;251;113;45.0;4;0;109;22;87;20.2
2;Bern / Berne;630;Allmendingen;442;257;58.1;4;0;253;122;131;48.2
2;Bern / Berne;632;Wichtrach;3'387;1'482;43.8;27;16;1'439;439;1'000;30.5
2;Bern / Berne;662;Ferenbalm;965;447;46.3;16;0;431;143;288;33.2
2;Bern / Berne;663;Frauenkappelen;996;528;53.0;9;0;519;188;331;36.2
2;Bern / Berne;665;Gurbrü;200;101;50.5;4;0;97;35;62;36.1
2;Bern / Berne;666;Kriechenwil;360;144;40.0;3;0;141;52;89;36.9
2;Bern / Berne;667;Laupen;2'340;1'074;45.9;30;0;1'044;327;717;31.3
2;Bern / Berne;668;Mühleberg;2'305;1'094;47.5;22;0;1'072;399;673;37.2
2;Bern / Berne;669;Münchenwiler;367;138;37.6;4;0;134;50;84;37.3
2;Bern / Berne;670;Neuenegg;3'980;1'645;41.3;25;0;1'620;500;1'120;30.9
2;Bern / Berne;671;Wileroltigen;286;148;51.7;4;0;144;56;88;38.9
2;Bern / Berne;681;Belprahon;233;108;46.4;3;0;105;46;59;43.8
2;Bern / Berne;683;Champoz;127;77;60.6;3;0;74;23;51;31.1
2;Bern / Berne;687;Corcelles (BE);177;79;44.6;1;1;77;22;55;28.6
2;Bern / Berne;690;Court;1'012;345;34.1;9;0;336;116;220;34.5
2;Bern / Berne;691;Crémines;380;162;42.6;4;3;155;48;107;31.0
2;Bern / Berne;692;Eschert;283;115;40.6;7;0;108;27;81;25.0
2;Bern / Berne;694;Grandval;273;108;39.6;1;0;107;15;92;14.0
2;Bern / Berne;696;Loveresse;271;125;46.1;5;1;119;29;90;24.4
2;Bern / Berne;700;Moutier;4'537;2'050;45.2;105;4;1'941;510;1'431;26.3
2;Bern / Berne;701;Perrefitte;318;145;45.6;4;0;141;35;106;24.8
2;Bern / Berne;703;Reconvilier;1'539;684;44.4;31;0;653;193;460;29.6
2;Bern / Berne;704;Roches (BE);144;52;36.1;5;0;47;20;27;42.6
2;Bern / Berne;706;Saicourt;472;226;47.9;11;2;213;53;160;24.9
2;Bern / Berne;707;Saules (BE);124;58;46.8;2;0;56;17;39;30.4
2;Bern / Berne;708;Schelten;74;28;37.8;0;0;28;13;15;46.4
2;Bern / Berne;709;Seehof;64;24;37.5;0;0;24;3;21;12.5
2;Bern / Berne;711;Sorvilier;213;87;40.8;5;0;82;22;60;26.8
2;Bern / Berne;713;Tavannes;2'137;749;35.0;25;1;723;221;502;30.6
2;Bern / Berne;715;Rebévelier;33;23;69.7;1;0;22;1;21;4.5
2;Bern / Berne;716;Petit-Val;325;185;56.9;9;1;175;42;133;24.0
2;Bern / Berne;717;Valbirse;2'647;1'072;40.5;35;0;1'037;275;762;26.5
2;Bern / Berne;723;La Neuveville;2'719;1'161;42.7;30;20;1'111;331;780;29.8
2;Bern / Berne;724;Nods;608;251;41.3;11;0;240;71;169;29.6
2;Bern / Berne;726;Plateau de Diesse;1'589;616;38.8;17;0;599;131;468;21.9
2;Bern / Berne;731;Aegerten;1'539;633;41.1;17;1;615;186;429;30.2
2;Bern / Berne;732;Bellmund;1'264;659;52.1;16;1;642;271;371;42.2
2;Bern / Berne;733;Brügg;2'764;1'114;40.3;20;0;1'094;295;799;27.0
2;Bern / Berne;734;Bühl;393;161;41.0;1;0;160;63;97;39.4
2;Bern / Berne;735;Epsach;268;135;50.4;5;0;130;38;92;29.2
2;Bern / Berne;736;Hagneck;323;153;47.4;1;0;152;37;115;24.3
2;Bern / Berne;737;Hermrigen;255;105;41.2;2;0;103;37;66;35.9
2;Bern / Berne;738;Jens;536;291;54.3;20;0;271;80;191;29.5
2;Bern / Berne;739;Ipsach;2'876;1'356;47.1;27;21;1'308;436;872;33.3
2;Bern / Berne;740;Ligerz;420;236;56.2;6;0;230;91;139;39.6
2;Bern / Berne;741;Merzligen;332;172;51.8;3;0;169;59;110;34.9
2;Bern / Berne;742;Mörigen;717;370;51.6;12;0;358;175;183;48.9
2;Bern / Berne;743;Nidau;4'482;1'748;39.0;30;0;1'718;547;1'171;31.8
2;Bern / Berne;744;Orpund;2'086;798;38.3;16;0;782;271;511;34.7
2;Bern / Berne;745;Port;2'723;1'277;46.9;23;0;1'254;446;808;35.6
2;Bern / Berne;746;Safnern;1'481;677;45.7;16;0;661;235;426;35.6
2;Bern / Berne;747;Scheuren;379;179;47.2;4;0;175;55;120;31.4
2;Bern / Berne;748;Schwadernau;507;233;46.0;5;0;228;69;159;30.3
2;Bern / Berne;749;Studen (BE);2'108;845;40.1;21;1;823;238;585;28.9
2;Bern / Berne;750;Sutz-Lattrigen;1'030;471;45.7;15;0;456;156;300;34.2
2;Bern / Berne;751;Täuffelen;2'373;1'170;49.3;21;0;1'149;388;761;33.8
2;Bern / Berne;754;Walperswil;778;330;42.4;5;3;322;103;219;32.0
2;Bern / Berne;755;Worben;1'850;822;44.4;20;0;802;220;582;27.4
2;Bern / Berne;756;Twann-Tüscherz;931;486;52.2;17;0;469;168;301;35.8
2;Bern / Berne;761;Därstetten;674;299;44.4;11;0;288;93;195;32.3
2;Bern / Berne;762;Diemtigen;1'854;717;38.7;17;0;700;244;456;34.9
2;Bern / Berne;763;Erlenbach im Simmental;1'381;585;42.4;13;0;572;160;412;28.0
2;Bern / Berne;766;Oberwil im Simmental;684;349;51.0;17;0;332;114;218;34.3
2;Bern / Berne;767;Reutigen;769;364;47.3;7;0;357;122;235;34.2
2;Bern / Berne;768;Spiez;9'922;4'865;49.0;103;0;4'762;1'430;3'332;30.0
2;Bern / Berne;769;Wimmis;1'926;873;45.3;12;0;861;277;584;32.2
2;Bern / Berne;770;Stocken-Höfen;828;343;41.4;6;1;336;102;234;30.4
2;Bern / Berne;782;Guttannen;210;99;47.1;2;0;97;32;65;33.0
2;Bern / Berne;783;Hasliberg;836;329;39.4;11;0;318;84;234;26.4
2;Bern / Berne;784;Innertkirchen;886;339;38.3;6;0;333;103;230;30.9
2;Bern / Berne;785;Meiringen;3'220;1'322;41.1;37;0;1'285;373;912;29.0
2;Bern / Berne;786;Schattenhalb;428;171;40.0;2;0;169;46;123;27.2
2;Bern / Berne;791;Boltigen;1'021;410;40.2;14;0;396;137;259;34.6
2;Bern / Berne;792;Lenk;1'766;759;43.0;22;0;737;260;477;35.3
2;Bern / Berne;793;St. Stephan;1'032;507;49.1;16;0;491;180;311;36.7
2;Bern / Berne;794;Zweisimmen;2'307;1'032;44.7;33;0;999;344;655;34.4
2;Bern / Berne;841;Gsteig;691;346;50.1;14;0;332;117;215;35.2
2;Bern / Berne;842;Lauenen;630;279;44.3;13;1;265;81;184;30.6
2;Bern / Berne;843;Saanen;4'241;1'989;46.9;84;0;1'905;859;1'046;45.1
2;Bern / Berne;852;Guggisberg;1'314;475;36.1;18;0;457;130;327;28.4
2;Bern / Berne;853;Rüschegg;1'465;538;36.7;10;0;528;120;408;22.7
2;Bern / Berne;855;Schwarzenburg;5'548;2'432;43.8;62;0;2'370;634;1'736;26.8
2;Bern / Berne;861;Belp;8'311;4'044;48.7;89;1;3'954;1'216;2'738;30.8
2;Bern / Berne;863;Burgistein;932;390;41.8;10;0;380;110;270;28.9
2;Bern / Berne;866;Gerzensee;920;452;49.1;10;0;442;187;255;42.3
2;Bern / Berne;867;Gurzelen;680;322;47.4;12;0;310;77;233;24.8
2;Bern / Berne;868;Jaberg;242;118;48.8;2;0;116;30;86;25.9
2;Bern / Berne;869;Kaufdorf;797;441;55.3;6;0;435;109;326;25.1
2;Bern / Berne;870;Kehrsatz;2'745;1'303;47.5;31;2;1'270;420;850;33.1
2;Bern / Berne;872;Kirchdorf (BE);1'495;713;47.7;19;0;694;236;458;34.0
2;Bern / Berne;879;Riggisberg;2'438;1'063;43.6;14;1;1'048;290;758;27.7
2;Bern / Berne;880;Rüeggisberg;1'493;729;48.8;24;0;705;169;536;24.0
2;Bern / Berne;883;Seftigen;1'647;772;46.9;22;0;750;230;520;30.7
2;Bern / Berne;884;Toffen;1'944;1'008;51.9;20;0;988;273;715;27.6
2;Bern / Berne;885;Uttigen;1'676;848;50.6;23;0;825;255;570;30.9
2;Bern / Berne;886;Wattenwil;2'468;1'045;42.3;29;0;1'016;243;773;23.9
2;Bern / Berne;888;Wald (BE);1'390;690;49.6;32;0;658;203;455;30.9
2;Bern / Berne;889;Thurnen;1'600;842;52.6;23;1;818;227;591;27.8
2;Bern / Berne;901;Eggiwil;2'041;741;36.3;16;0;725;236;489;32.6
2;Bern / Berne;902;Langnau im Emmental;7'524;3'178;42.2;104;0;3'074;915;2'159;29.8
2;Bern / Berne;903;Lauperswil;2'281;896;39.3;20;1;875;220;655;25.1
2;Bern / Berne;904;Röthenbach im Emmental;1'026;412;40.2;12;0;400;125;275;31.3
2;Bern / Berne;905;Rüderswil;2'007;758;37.8;22;0;736;212;524;28.8
2;Bern / Berne;906;Schangnau;779;299;38.4;19;0;280;126;154;45.0
2;Bern / Berne;907;Signau;2'224;970;43.6;27;0;943;258;685;27.4
2;Bern / Berne;908;Trub;1'403;434;30.9;14;0;420;105;315;25.0
2;Bern / Berne;909;Trubschachen;1'165;485;41.6;16;0;469;120;349;25.6
2;Bern / Berne;921;Amsoldingen;649;307;47.3;6;0;301;99;202;32.9
2;Bern / Berne;922;Blumenstein;1'041;432;41.5;10;0;422;101;321;23.9
2;Bern / Berne;923;Buchholterberg;1'270;564;44.4;12;0;552;266;286;48.2
2;Bern / Berne;924;Eriz;448;229;51.1;8;0;221;109;112;49.3
2;Bern / Berne;925;Fahrni;656;291;44.4;9;0;282;101;181;35.8
2;Bern / Berne;927;Heiligenschwendi;554;281;50.7;9;0;272;68;204;25.0
2;Bern / Berne;928;Heimberg;5'055;2'164;42.8;49;0;2'115;610;1'505;28.8
2;Bern / Berne;929;Hilterfingen;3'216;1'673;52.0;47;0;1'626;619;1'007;38.1
2;Bern / Berne;931;Homberg;400;190;47.5;5;0;185;52;133;28.1
2;Bern / Berne;932;Horrenbach-Buchen;178;82;46.1;1;0;81;18;63;22.2
2;Bern / Berne;934;Oberhofen am Thunersee;1'940;1'073;55.3;23;0;1'050;453;597;43.1
2;Bern / Berne;935;Oberlangenegg;393;143;36.4;3;0;140;72;68;51.4
2;Bern / Berne;936;Pohlern;192;80;41.7;1;0;79;22;57;27.8
2;Bern / Berne;938;Sigriswil;4'009;2'031;50.7;31;0;2'000;698;1'302;34.9
2;Bern / Berne;939;Steffisburg;12'211;5'988;49.0;194;1;5'793;1'689;4'104;29.2
2;Bern / Berne;940;Teuffenthal (BE);148;74;50.0;1;0;73;20;53;27.4
2;Bern / Berne;941;Thierachern;1'935;902;46.6;31;0;871;220;651;25.3
2;Bern / Berne;942;Thun;32'375;14'234;44.0;436;0;13'798;4'028;9'770;29.2
2;Bern / Berne;943;Uebeschi;567;267;47.1;5;0;262;65;197;24.8
2;Bern / Berne;944;Uetendorf;4'586;2'134;46.5;33;24;2'077;567;1'510;27.3
2;Bern / Berne;945;Unterlangenegg;855;351;41.1;5;0;346;135;211;39.0
2;Bern / Berne;946;Wachseldorn;179;85;47.5;2;0;83;30;53;36.1
2;Bern / Berne;947;Zwieselberg;248;118;47.6;2;0;116;49;67;42.2
2;Bern / Berne;948;Forst-Längenbühl;619;287;46.4;5;0;282;66;216;23.4
2;Bern / Berne;951;Affoltern im Emmental;979;428;43.7;8;0;420;140;280;33.3
2;Bern / Berne;952;Dürrenroth;874;364;41.6;10;0;354;105;249;29.7
2;Bern / Berne;953;Eriswil;1'156;398;34.4;10;0;388;152;236;39.2
2;Bern / Berne;954;Huttwil;3'681;1'489;40.5;34;0;1'455;471;984;32.4
2;Bern / Berne;955;Lützelflüh;3'448;1'582;45.9;25;5;1'552;413;1'139;26.6
2;Bern / Berne;956;Rüegsau;2'603;1'161;44.6;43;0;1'118;338;780;30.2
2;Bern / Berne;957;Sumiswald;4'227;1'692;40.0;32;0;1'660;484;1'176;29.2
2;Bern / Berne;958;Trachselwald;813;327;40.2;5;0;322;72;250;22.4
2;Bern / Berne;959;Walterswil (BE);477;181;37.9;10;0;171;60;111;35.1
2;Bern / Berne;960;Wyssachen;945;398;42.1;5;1;392;115;277;29.3
2;Bern / Berne;971;Attiswil;1'174;510;43.4;12;0;498;169;329;33.9
2;Bern / Berne;972;Berken;38;23;60.5;1;0;22;10;12;45.5
2;Bern / Berne;973;Bettenhausen;551;271;49.2;2;0;269;80;189;29.7
2;Bern / Berne;975;Farnern;190;78;41.1;2;0;76;25;51;32.9
2;Bern / Berne;976;Graben;266;122;45.9;4;0;118;28;90;23.7
2;Bern / Berne;977;Heimenhausen;888;373;42.0;3;1;369;105;264;28.5
2;Bern / Berne;979;Herzogenbuchsee;4'946;2'099;42.4;38;0;2'061;641;1'420;31.1
2;Bern / Berne;980;Inkwil;561;273;48.7;3;0;270;73;197;27.0
2;Bern / Berne;981;Niederbipp;3'212;1'210;37.7;16;6;1'188;364;824;30.6
2;Bern / Berne;982;Niederönz;1'323;622;47.0;15;0;607;141;466;23.2
2;Bern / Berne;983;Oberbipp;1'222;556;45.5;10;0;546;178;368;32.6
2;Bern / Berne;985;Ochlenberg;483;228;47.2;4;0;224;71;153;31.7
2;Bern / Berne;987;Rumisberg;404;180;44.6;2;0;178;59;119;33.1
2;Bern / Berne;988;Seeberg;1'336;580;43.4;18;0;562;144;418;25.6
2;Bern / Berne;989;Thörigen;906;377;41.6;2;0;375;108;267;28.8
2;Bern / Berne;990;Walliswil bei Niederbipp;175;95;54.3;3;0;92;20;72;21.7
2;Bern / Berne;991;Walliswil bei Wangen;500;200;40.0;2;0;198;45;153;22.7
2;Bern / Berne;992;Wangen an der Aare;1'664;703;42.2;14;0;689;237;452;34.4
2;Bern / Berne;993;Wangenried;336;153;45.5;4;0;149;53;96;35.6
2;Bern / Berne;995;Wiedlisbach;1'739;614;35.3;13;0;601;173;428;28.8
3;Luzern;1001;Doppleschwand;601;274;45.6;2;2;270;165;105;61.1
3;Luzern;1002;Entlebuch;2'442;1'014;41.5;17;10;987;445;542;45.1
3;Luzern;1004;Flühli;1'284;595;46.3;7;0;588;329;259;56.0
3;Luzern;1005;Hasle (LU);1'362;581;42.7;15;5;561;281;280;50.1
